material_aliases;;
Material;Alias;Hjelpekolonne
U0-22 GJENVUNN 332;0-22mm TILSLAG GJENBRUK;Tilslag, gjenbrukt
U0-4 BREDING;0-4mm TILSLAG;
U0-4 VASSFJELL;0-4mm TILSLAG;
U0-8 BJØRSET;0-8mm TILSLAG;
U0-8 FORSET;0-8mm TILSLAG;
U0-8 FORSET 2;0-8mm TILSLAG;
U16-22 FORSET;16-22mm TILSLAG;
U16-22 MERAFSTAD;16-22mm TILSLAG;
U8-16 FORSET;8-16MM TILSLAG;
U8-16 MEREFSTAD;8-16MM TILSLAG;
U8-16 MEREFSTAD II;8-16MM TILSLAG;
UAMEX 11 1:19;LUFTINNF�RENDE ;
UAMEX 11 1:9;LUFTINNF�RENDE ;
UANL FA;ANL FA;
UBYFERROX 130 RØD;PIGMENT R�D;
UBYFERROX 960 GUL;PIGMENT GUL ;
UBYFERROX330C SORT;PIGMENT SORT;
UDELVOCRETE STAB;STABILISATOR;
UDRAMIX 4D 65/60BG;FIBER ;
UDRAMIX 4D65/35-BG;FIBER ;
UDRAMIX READY;FIBER ;
UDRAMIX RL45/50-BN;FIBER ;
UFA NORCEM;FLYGEASKE;
UFA NORCEM K=0;FLYGEASKE K=0;
UFA NORCEM K=0.4;FLYGEASKE K=0.4;
UFA NORCEM K=0.7;FLYGEASKE K=0.7;
UFA NORCEM K=1.0;FLYGEASKE K=1;
UFLYVEASKEB4;FLYGEASKE;
UGJENBRUKSVANN;GJENBRUKSVANN;
UGJENBRUKSVANN 332;GJENBRUKSVANN 332;
UK-VANN;Kaldt VANN;
UMASTER CORE 3015;SP ;
UMASTER EASE 1020;SP ;
UMASTER EASE 2050;SP ;
UMASTERLIFE SRA848;ANTI-SVINN ;
UMASTERLIFE SRA900;ANTI-SVINN ;
UMASTERMATRIX SCC;STABILISATOR SCC;
UMASTERMATRIXFC500;STABILISATOR;
UMEYCO FIB PP 6M;FIBER SPR�YTEBETONG;
UMEYCO TCC 735;ANTI -SVINN ;
UMINIBARS BASALT;KOMPOSITTFIBER;
UNATRIUMNITRAT;ANTIFREEZE;
UPOZZOLITH R 433;RETARDER;
URESCON T;ANTI UTVASKING;
USA;SA;? 
USCHWENK CEM 111/B;CEM LAVVARME;
USILIKA 0;SILIKA ;
USILIKA 1;SILIKA ;
USILIKA 2;SILIKA ;
USILIKA ELKEM;SILIKA E;
USTD-FA KJØPSVIK;STD-FA KJ�PSVIK ;
UTESTSAND 0-8;0-8mm TILSLAG;
UV-VANN;Varmt VANN;
UX-SEED;AKSELERATOR;
